TARGETID,TILEID,FIBER,TARGET_RA,TARGET_DEC,VI_Z,VI_QUALITY,VI_SPECTYPE
39627640566453514,80606,199,36.58631265809603,-5.890908688309661,0.9005,4.0,GALAXY
39627640566454114,80606,484,36.605228569559536,-6.054098221245968,1.3379,4.0,GALAXY
39627640566454340,80606,344,36.61299997461639,-5.95532523875432,0.8222,4.0,GALAXY
39627640566454392,80606,308,36.61418130181422,-6.007110021075796,0.7945,4.0,GALAXY
39627640566454605,80606,159,36.62158991528908,-5.90264764086879,1.3288,4.0,GALAXY
39627640566454754,80606,329,36.62621356772768,-5.922396381191997,0.0852,4.0,GALAXY
39627640566455310,80606,322,36.64404593604251,-5.977526838228183,0.8806,4.0,GALAXY
39627640570642536,80606,306,36.653904253876846,-5.906142116151308,0.1984,4.0,GALAXY
39627640570642755,80606,323,36.661245815744415,-6.035240618046472,0.0542,4.0,GALAXY
39627640570643258,80606,347,36.67743141736951,-5.969559895345762,1.58,3.0,GALAXY
39627640570643569,80606,345,36.68753643844244,-6.081715735527118,0.3439,1.0,GALAXY
39627640570644268,80606,317,36.7105144298209,-6.058771786263344,1.0418,4.0,GALAXY
39627640570644285,80606,318,36.7110198446258,-5.914433780118606,1.5156,3.0,GALAXY
39627640570645053,80606,312,36.73471986412319,-5.9894903262652965,0.1583,0.5,GALAXY
39627640570645060,80606,337,36.73497876439413,-5.884294069349284,1.2043,3.5,GALAXY
39627640570645200,80606,338,36.7405071370396,-6.020142564783933,1.0363,4.0,GALAXY
39627640570645226,80606,302,36.74132969769131,-5.930104253398557,1.324,4.0,GALAXY
39627640570645338,80606,320,36.74549894833946,-5.94872152229601,0.7143,4.0,GALAXY
39627640570645619,80606,319,36.75496254374171,-6.0500557693489005,0.1435,4.0,GALAXY
39627640570646372,80606,313,36.78190592805167,-5.929032176274408,0.9903,3.5,GALAXY
39627640570646498,80606,307,36.78589458371656,-5.962710094338946,0.9354,4.0,GALAXY
39627640570646868,80606,321,36.79747416969358,-6.065360556999561,0.9514,1.5,GALAXY
39627640570646899,80606,326,36.798431450274606,-5.894525325804619,1.1777,3.5,GALAXY
39627640570646911,80606,303,36.79887275586621,-5.993821793473424,0.7869,4.0,GALAXY
39627640570647755,80606,311,36.82317163660048,-6.041220230199405,0.9906,4.0,GALAXY
39627640570648074,80606,314,36.83259636287637,-5.972297302525487,1.5429,3.5,GALAXY
39627640570648132,80606,340,36.834655241333,-6.011644806218738,1.2735,4.0,GALAXY
39627640570648787,80606,339,36.85320481134892,-6.041097129847679,0.1055,4.0,GALAXY
39627640570649005,80606,304,36.85933099920223,-5.898748997257626,0.8851,0.0,GALAXY
39627640570649035,80606,305,36.86031168740955,-5.947734467272126,0.9273,0.5,GALAXY
39627640570649677,80606,325,36.87833345581517,-5.916194202493952,0.8139,4.0,GALAXY
39627640570649975,80606,343,36.88778707358924,-6.012786013152335,1.1262,4.0,GALAXY
39627640574837641,80606,301,36.92563522814682,-5.98250984332049,1.0249,4.0,GALAXY
39627640574837682,80606,333,36.92702118342576,-6.026225400608582,1.1635,4.0,GALAXY
39627640574844800,80606,4917,37.11909787306514,-5.888938910497242,0.8775,4.0,GALAXY
39627640574845883,80606,4909,37.15015025137168,-5.909348813283259,0.5226,0.0,GALAXY
39627640579032027,80606,4944,37.18316519074543,-5.889306833200202,1.4987,0.5,GALAXY
39627640579033285,80606,4942,37.21985936040461,-5.8762630367699975,1.2749,4.0,GALAXY
39627646560117126,80606,557,35.37563942582325,-5.64895097624482,1.4508,3.5,GALAXY
39627646564303011,80606,661,35.40076827565356,-5.683940189004546,0.7893,4.0,GALAXY
39627646564304192,80606,876,35.433813221169,-5.6786389189346895,0.8363,4.0,GALAXY
39627646564304363,80606,679,35.4388382516055,-5.715439756965809,0.8165,4.0,GALAXY
39627646564304933,80606,573,35.4531891204907,-5.651798772524924,0.8365,4.0,GALAXY
39627646564305079,80606,680,35.457146766899406,-5.706991538797432,0.458,0.0,GALAXY
39627646564305114,80606,655,35.45815988454403,-5.751091025986295,0.8473,4.0,GALAXY
39627646564305581,80606,850,35.47064980366583,-5.679541281934257,1.578,1.5,GALAXY
39627646564306285,80606,682,35.48726814756867,-5.782776400268054,0.2586,0.0,GALAXY
39627646564306864,80606,873,35.501268980236894,-5.635984315886847,1.1441,3.5,GALAXY
39627646564307353,80606,651,35.5142689334411,-5.8105672397700605,0.8148,4.0,GALAXY
39627646564307552,80606,681,35.51874008493226,-5.779172130364272,0.3474,0.5,GALAXY
39627646564307943,80606,684,35.527840049313696,-5.736365200210257,0.7929,4.0,GALAXY
39627646564307948,80606,898,35.52800790912798,-5.671719412802943,1.0855,4.0,GALAXY
39627646564308173,80606,877,35.53383316548916,-5.631471109680426,1.4474,3.5,GALAXY
39627646564308243,80606,871,35.53589666891771,-5.702207137333957,1.3899,3.5,GALAXY
39627646564308649,80606,676,35.546531072769724,-5.812524001144838,1.2341,4.0,GALAXY
39627646564309234,80606,689,35.56242784816847,-5.727224877681389,0.1615,2.0,GALAXY
39627646564309433,80606,866,35.56788433682342,-5.629679784057358,1.3215,4.0,GALAXY
39627646564309710,80606,687,35.57469999005338,-5.831352138200507,1.1893,3.5,GALAXY
39627646564309906,80606,897,35.57965874546467,-5.678974275443506,1.4501,1.5,GALAXY
39627646564310273,80606,693,35.58860111923147,-5.801789749097369,1.5898,4.0,GALAXY
39627646564310918,80606,879,35.6040821466863,-5.648547908777848,1.0351,0.5,GALAXY
39627646564311166,80606,694,35.61107702874104,-5.7289065401259744,0.9765,4.0,GALAXY
39627646564311220,80606,677,35.61292151149113,-5.76494941493436,0.0092,0.0,GALAXY
39627646564311305,80606,670,35.61519659375391,-5.866145688627652,1.3668,4.0,GALAXY
